#Wed Oct 26 18:34:52 BST 2016
1879;1;718764857,=
187;4;15376830,519362200,519948834,=
188;1;418234185,=
1893;1;620420185,=
1895;1;119218659,=
1896;1;22894873,=
189;5;620224486,918196526,918568789,718789071,=
18c;1;519775712,=
18carbon;1;519775712,=
18crown6eth;1;519651526,=
18ffluorodeoxyglucos;2;420515577,=
18month;1;15482044,=
1903;1;620375524,=
1905;1;119628957,=
1909;1;112132251,=
190;4;615316366,520100277,319940166,19820054,=
1912;1;818727692,=
191;7;519999130,817128380,620099342,27404574,23714004,219452585,816878079,=
1920;1;220148520,=
1923;1;112132251,=
1926;1;17333633,=
1927;1;23740274,=
192;2;417075569,19762834,=
193050;2;17644932,=
193050this;1;17644932,=
1930;1;17333633,=
1930s;1;818727692,=
1931;1;17333633,=
193;1;819340793,=
1940;1;15943643,=
1941;2;112132251,220148520,=
19435;2;320193044,220193044,=
1943;1;519261730,=
1946;1;17523981,=
1948;1;719593224,=
194;2;718930995,620406759,=
1950s;1;19115763,=
1956;1;220148520,=
195;4;68592437,620169774,718764857,919093431,=
195a;1;519620709,=
1960s;1;620112794,=
